17,Kanal Perspektif,"Prabowo-Gibran baru 100 hari menjabat, tapi wacana Pilpres 2029 sudah mengemuka, menegaskan dominasi politik dinasti dan oligarki.

#Prabowo #Gibran #PolitikIndonesia https://t.co/sINsWPWWqe",Fri Mar 07 07:47:35 +0000 2025,0,0
18,CNN Indonesia,"Prabowo: Dalam 100 Hari, Saya Amankan Rp300 T dari Korupsi-Inefisiensi
https://t.co/CoN8GnzUS5",Mon Feb 24 04:40:11 +0000 2025,162,1332
19,Mikael Dewabrata 📊,"Media UK, @guardian merilis kumpulan analisis selama 100 hari kepemimpinan Pak Prabowo. Disebutkan di sini bahwa meski approval rating 80,9%, banyak hal yang jadi sorotan.

Ada yang bilang banyak blunder, ada yang bilang chaotic, atau belum jelas arahnya ke mana. masih ada https://t.co/yjDFG2TENA",Tue Jan 28 11:21:57 +0000 2025,150,671
20,Miss Tweet |,"SINERGI MEMBANGUN NEGERI

Kejaksaan Agung  mengeklaim telah menyelamatkan triliunan rupiah uang negara melalui bidang Perdata dan Tata Usaha Negara pada 100 hari pertama kepemimpinan Presiden Prabowo 

From This.                  To This https://t.co/DbqaXl3ta9",Mon Feb 24 15:35:26 +0000 2025,26,119
21,resti,Prabowo-Gibran Dalam Kinerja 100 Hari Masyarakat Puas https://t.co/85b2txLOAC,Tue Mar 11 06:38:02 +0000 2025,0,1
22,Trend Asia,"⚠️TW ⚠️
""R"" word 

Indonesia Masih Gelap, Kita Tidak Boleh Lupa!
Bagaimana Prabowo-Gibran mengubah Indonesia Emas jadi Indonesia Gelap dalam 100 Hari.

🔸Kabinet Super Gemoy, anggarannya ngos-ngosan 
🔸Makan Tidak Bergizi dan Tidak Gratis (dan Tidak Transparan)
🔸Oke Gas Oke Gas,",Wed Mar 05 10:42:06 +0000 2025,6989,13900
23,Zay3456,"100 hari pemerintahan Prabowo investor masih ragu. 

Prabowo masih lekat dengan bayang2 Jokowi finalis OCCRP. 

Tidak akan ada investor masuk di negara yang pemerintahnya korup! 

#PrabowoPelindungKoruptor
#PrabowoPelindungKoruptor https://t.co/RjiwYWdrv2",Sun Feb 16 01:30:30 +0000 2025,173,299
24,💫 joe kissanda🔻🌿,"Erick Thohir tak lebih menteri rasa buzzeRp Jokowi, trouble maker FIFA PSSI &amp; Pertamina

100 Hari Presiden Prabowo berkuasa tapi msh kewalahan hadapi trick Mulyono yg touring Solo Jakarta manfaatin orang²nya di kabinet

Jokowi adlh pengendali posisi² strategis pemerintahan &amp; BUMN https://t.co/MqmrirNyl0",Wed Mar 05 22:00:11 +0000 2025,11,36
25,Trend Asia,"Belum genap 100 hari, pemerintahan @prabowo - @gibran_tweet tidak hanya menebar kontroversi, 

tetapi juga ancaman nyata melalui kebijakan yang berpotensi memperparah kerusakan lingkungan dan masalah sosial; membongkar 20,6 juta ha kawasan hutan untuk proyek energi dan pangan. https://t.co/tMaY8VhFo9",Thu Jan 16 11:54:30 +0000 2025,202,313
26,Cak Khum,"100 Hari Pemerintahan Prabowo
Kembalikan tuyul-tuyul second pada majikan lamanya https://t.co/l2aOpKo7pR",Wed Jan 22 10:57:34 +0000 2025,146,395
27,Partai Gerindra,"Menteri Pertahanan Republik Indonesia, Prabowo Subianto, mendapatkan rapor bagus dalam 100 hari kinerja di dalam pemerintahan Jokowi-Ma’aruf. https://t.co/dSnM89c9d7",Mon Feb 17 12:13:32 +0000 2020,34,319
28,🇮🇩 🇵🇸 #𝕋𝕨𝕖𝕖𝕥𝔸𝕚𝕟𝕜,"100 Hari Kinerja Kabinet  Omon-omon @prabowo 

#PeringatanDarurat https://t.co/YNlE4QZNGE",Tue Feb 04 00:01:52 +0000 2025,118,289
29,Dunia Inform,100 hari kerja presiden prabowo-gibran https://t.co/1F8zllb1Ve,Tue Mar 11 04:26:12 +0000 2025,0,0
30,Brigadir JM,"80,9% rakyat Indonesia puas atas kinerja 100 hari pemerintahan Prabowo-Gibran.

19,1% yg tdk puas mudah ditebak darimana asalnya. https://t.co/1aOmuakPVN",Mon Jan 20 03:38:36 +0000 2025,41,258
31,Miss Tweet |,"Tidak suka Jokowi hari ini , berarti 2014 2019  harusnya Prabowo jadi  Presiden, hari ini Prabowo Presiden !(Belum 100 Hari ) 

Menyalahkan pemilih atas kebijakan Penguasa yang dianggap tidak pro rakyat adalah keGBLKan Ber-Demokrasi

Hantam Pilihannya Bukan Pemilihnya https://t.co/n030AbZNYC",Wed Dec 18 07:30:12 +0000 2024,85,602
32,Media Sibiru,"Gelap tak menjadi terang. Mereka yang berada di balik layar, juga sama kacaunya. Membuat kebijakan tanpa perhitungan. Menghabiskan 100 hari untuk keputusan-keputusan dungu.

#Demokrasi #IndonesiaGelap #Prabowo #Gibran https://t.co/aHG63adc01",Tue Mar 11 04:08:14 +0000 2025,1,7
33,Yanuar Nugroho,"catatan saya tentang 100 hari pemerintahan baru presiden @prabowo di @hariankompas hari ini, 7/7/25 h.7.

maaf, kata sebagian teman ternyata terbaca agak keras 🤭. maksud saya hanya menunjukkan realita dari kacamata saya, dan mencoba mengusulkan perbaikan.

silakan disimak.",Fri Feb 07 04:02:34 +0000 2025,130,456
34,Menuju Indonesia Emas 2045,"100 Hari Pemerintahan Prabowo-Gibran Serius Wujudkan Pemerataan Ekonomi Indonesia

#EkonomiKuat https://t.co/kS7w9GSQmt",Mon Jan 27 17:29:40 +0000 2025,261,274
35,🇮🇩 Tetap😍Jokowi 🇮🇩,"Dengan tingkat kepuasan Kinerja 100 hari pertama sebesar 80.9 %, Presiden Prabowo adalah Presiden dengan dukungan terkuat dari rakyat dan DPR. 

Pak @jokowi : ""Saking kuatnya..."" 

Credit :@officialinews_ https://t.co/qAAE28QL60",Sat Feb 15 06:05:37 +0000 2025,46,220
36,OrangSudahTua,"100 hari prabowo
""Most deadly 100 days""
#IndonesiaGelap #LawanAjaDulu https://t.co/ohZ9w7abKA",Thu Feb 20 04:08:48 +0000 2025,0,1
37,tempo.co,"Belum genap 100 hari, pemerintahan Prabowo Subianto tampak grasa-grusu membuat kebijakan. 

#MajalahTempo https://t.co/Ika0o1jNS1",Sun Nov 10 12:05:35 +0000 2024,100,354
38,Agus Susanto IV,"Setelah 100 Hari Berkuasa,
Presiden Prabowo :
1.𝗖𝘂𝗿𝗵𝗮𝘁,
Ada Yang Ngatain Dirinya Tolol.
2. 𝗡𝗴𝗮𝗻𝗰𝗮𝗺,
Bersihkan Aparat/Institusi
Yang Nyusahin Rakyat. https://t.co/U8EfjCo0Ys",Thu Feb 06 22:23:21 +0000 2025,80,243
39,🇮🇩7464H4T1✍🇮🇩,"Presiden @prabowo sama kah dengan Jokowi menurut kalian ...?
Jika di lihat fakta yg ada sekarang dalam 100 hari...? https://t.co/mR1BhzkjY1",Sat Feb 22 17:14:26 +0000 2025,21,52
40,♏💤🇯🇵🅰️🇱🅴❎™️✪ⓃⓀⓇⒾ🇮🇩,Pak Jokowi kasih nilai A plus atas kinerja Presiden Prabowo dalam 100 hari kerja😍 https://t.co/dYMBCrYeug,Tue Feb 11 14:05:43 +0000 2025,42,266
41,CNN Indonesia,Pigai Pamer 100 Hari Prabowo: Tak Ada Rakyat Dipenjara Hina Pejabat https://t.co/0p4fALiHtf,Wed Feb 05 10:21:51 +0000 2025,118,865
42,Partai Gerindra,"80,9% Publik Puas dengan 100 Hari Kerja Prabowo-Gibran Versi Litbang Kompas https://t.co/use6zrclTz",Mon Jan 20 08:01:36 +0000 2025,274,2116
43,penganut,"100 hari Prabowo-Gibran : terobosan bermunculan, soliditas teruji https://t.co/xrefEehqqR",Thu Mar 06 05:04:52 +0000 2025,0,1
44,BEN IXEL🌟🌟🌟,"9 HARI MENUJU 100 HARI.
HARUSNYA ADA BERSIH BERSIH,
DENGAN MERESHUFFLE PARA MENTERI DAN MENGUSUT KASUS KORUPSI @jokowi.
KALO ITU JUGA ENGKAU TAK MAMPU,,,
MUNDUR PAK @prabowo.😒😒😒 https://t.co/E15QYHlPpZ",Sun Jan 12 05:21:44 +0000 2025,1236,4254
45,CNN Indonesia,"Lewat 100 Hari, Prabowo Perintahkan Polri hingga KPK Sikat Koruptor https://t.co/Il3QJdBUFV",Mon Feb 10 11:12:18 +0000 2025,92,490
46,Lambe Waras,"100 Hari Pemerintahan Prabowo Tanpa Hasil Kerja Yang Jelas, Prahowo Layak Mendapatkan Piagam  ""Kebohongan Award Terlebay"" Seperti Yang Pernah Diberikan PSI.",Sun Feb 16 22:04:46 +0000 2025,96,241
47,tempo.co,"100 Hari Kabinet Prabowo: Baju Loreng Makin Menyala

#TempoPlus #Edsus100HariPrabowoGibran https://t.co/dPHSU9tcpT",Sun Feb 09 04:30:02 +0000 2025,86,276
48,CaHRuweT,"#PeringatanDarurat 100 hari kinerja wowo dan fufufafa! 

100 hari wowo @prabowo dilantik ditandai dgn meninggalnya IRT karena kelelahan usai mengantri LPG 3Kg!
Pendukung wowo emosi krn banyak yg nunjuk muka wowo atas kegaduhan ini!
Emang @bahlillahadalia siapa yg milih? SETAN? 🫣 https://t.co/jUpeCSlLyz",Tue Feb 04 03:11:11 +0000 2025,90,204
49,penganut,100 hari Prabowo-Gibran komitmen nyata untuk Indonesia hebat! https://t.co/nITNcXSSVy,Mon Mar 03 04:44:28 +0000 2025,0,0
50,tempo.co,"Survei Litbang Kompas: 80,9 Persen Responden Puas dengan 100 Hari Kerja Prabowo-Gibran
https://t.co/UmnaU7bvWu",Mon Jan 20 05:00:00 +0000 2025,98,829
51,Cintya,100 hari Prabowo-Gibran komitmen nyata untuk Indonesia hebat! https://t.co/Vc8TGNvHRw,Mon Mar 03 04:31:31 +0000 2025,0,0
52,𝙲𝚑𝚢𝚗𝚝𝚑𝚒𝚊,".
INI SERUS.
MENDEKATI 100 KEPEMIMPINAN PRABOWO.

Sepertinya ada Usaha dari Presiden @prabowo untuk melepaskan diri dari Belenggu Mulyono. Contoh (Prabowo Perintahkan Bongkar Pagar Laut)

Dan Para Para Buzzer Mulyono sepertinya Mulai mempersiapkan diri utk Menyerang Prabowo.
. https://t.co/3gOipw38sZ",Fri Jan 17 12:45:56 +0000 2025,256,672
53,ayas /•᷅‎‎•᷄\୭ !!,"hi temen2!! https://t.co/3F4PENIBb5 lg bikin survei utk pembuatan artikel jurnalisme data mengenai dampak kebijakan 100 hari pemerintahan Prabowo-Gibran berdasarkan pengalaman &amp; perspektif perempuan serta kelompok rentan.

tolong bantu isi ya, timakaci&lt;3
https://t.co/Ujxl7RHIeo",Mon Feb 10 10:27:26 +0000 2025,236,345
54,tempo.co,"Mahasiswa Universitas Negeri Semarang Muhammad Akmal Sajid membawa 10 kilogram kotoran sapi yang dibungkus dengan karung beras dalam unjuk rasa Indonesia Gelap mengkritik 100 hari Prabowo Subianto berkuasa.

#tempodotco #tempo #aksi #demo #IndonesiaGelap #Semarang https://t.co/DEjVwSxJVL",Wed Feb 26 07:00:24 +0000 2025,27,72
55,tvOnenews,"Ketua Dewan Ekonomi Nasional (DEN) Luhut Binsar Pandjaitan merespons tagar #KaburAjaDulu yang ramai diperbincangkan masyarakat di media sosial. Luhut meminta masyarakat untuk tidak tergesa-gesa menilai kinerja pemerintahan Presiden Prabowo Subianto.

“Ini kan baru 100 hari, saya https://t.co/ny4BXzN4ga",Wed Feb 19 08:51:54 +0000 2025,1,7
56,𝕿𝖍𝖊𝕹𝖉𝖔𝖓 🍀 ️️️️️️️️️,"Presiden Prabowo Subianto mengatakan maling tidak perlu diajak rukun. 

 “Saya selalu mengajak kebaikan, saya selalu mendekati dengan cara yang saya inginkan, kerukunan. Tapi kalau maling, nggak usah diajak rukun,”

kini Prabowo memerintahkan aparat penegak hukum untuk bergerak. https://t.co/5UtUj6kMnS",Thu Feb 27 09:17:33 +0000 2025,78,285
57,tempo.co,"Klaim Prabowo: Dalam 100 Hari Kerja, Kami Berhasil Mengamankan Rp 300 Triliun dari Inefisiensi dan Korupsi
https://t.co/D0uEiSvqDC",Mon Feb 24 13:20:00 +0000 2025,76,454
58,#99,"Cuplikan pidato Prabowo: 
Kita berterimakasih kepada Presiden Soekarno, Presiden Soeharto, Presiden BJ Habibie, Presiden Abdurahman Wahid, Presiden Megawati, Soesilo Bambang Yudoyono, dan kepada Presiden Jokowi.
Sumber: https://t.co/l9S7PFpo9G https://t.co/Mf8WMabiYt",Sat Feb 10 08:09:55 +0000 2024,248,1180
59,Indonesia Lawyers Club,"// Jangan terlalu dibombardir dulu krn ini baru 100 hari. Kita lihat perkembangannya krn saya yakin Pak Prabowo jg tdk ingin mengalami nasib naas, tiba-tiba semuanya nyeruduk DPR // #ILC&gt;&gt; DEMO #INDONESIAGELAP SIAPA YANG DIGOYANG?? // TONTON YOUTUBE ILC 👉 https://t.co/nLXoCeiw8F https://t.co/Q5kB3NW4D8",Thu Feb 20 08:21:35 +0000 2025,6,19
60,Radio Suara Surabaya,"Baru dua hari disahkan oleh Prabowo Presiden menjadi Sovereign Wealth Fund Indonesia, BPI Danantara berhasil masuk 10 besar daftar Sovereign Wealth Fund Dunia, bersanding dengan negara-negara maju.

Berikut informasi lengkapnya!

#Suarasurabayamedia #Danantara #Sovereign Wealth https://t.co/joaZr3cagg",Thu Feb 27 02:57:25 +0000 2025,4,8
61,🇮🇩7464H4T1✍🇮🇩,"Demo "" Indonesia Gelap "" 
Mahasiswa se-Indonesia 
Serentak di berbagai kota .
Menandakan kegagalan di era presiden @prabowo
Dalam 100 hari tak mampu memperbaiki hukum yg semakin semrawut, rakyat terbebani berbagai pajak pungutan liar semakin semarak, mafia tanah merajalela. https://t.co/iewBMWE0hb",Fri Feb 21 16:51:39 +0000 2025,14,31
62,konde.co,"https://t.co/PJCryzPTwc melakukan survei tentang dampak 100 hari kebijakan Prabowo-Gibran terhadap perempuan dan minoritas gender. Hasilnya, kinerja kabinet gemuk Prabowo-Gibran dinilai menghasilkan kebijakan yang berdampak buruk bagi mereka.

Periset: Luthfi Maulana Adhari https://t.co/lUL0yilig9",Sat Feb 22 01:36:10 +0000 2025,75,117
63,Tiffany Cintia Sastrawinata,100 hari Prabowo-Gibran komitmen nyata untuk Indonesia hebat! https://t.co/5YC5DcNf2T,Mon Mar 03 05:17:24 +0000 2025,0,0
64,GELORA NEWS,"Jelang 100 Hari Kerja, Prabowo Harus Lepas dari Bayang-bayang Jokowi
https://t.co/NuPzWv5s1a",Thu Jan 16 08:12:48 +0000 2025,173,438
65,Mr. Flava 🔥,@aunrrahman Lebih bagus 100 hari pertama Slot daripada Prabowo,Fri Feb 28 09:29:14 +0000 2025,21,60
66,Zay3456,"1. ""100 hari pemerintahan Prabowo, Jokowi tidak bisa melepaskan pengaruhnya di pemerintahan Prabowo. 

Ada yang bilang ini post power syndrome, ada juga yg bilang Prabowo tidak bisa melepaskan diri dari Jokowi"" (Tempo Bocor Alus) 

#JokowiPawangPrabowo 
#DanantaraKonspirasiJahat https://t.co/6BXIFNT94b",Wed Feb 26 10:18:17 +0000 2025,5,5
67,GELORA NEWS,"100 Hari Kerja, Prabowo Layak Copot Bahlil hingga Budi Arie di Kabinet Merah Putih  https://t.co/TwisPgODVi",Sat Jan 25 14:12:03 +0000 2025,266,722
68,moga membaik,"Prabowo-Sandi Janji Tingkatkan Daya Beli Masyarakat dalam 100 Hari bila Terpilih

https://t.co/6XzYcVUUNw",Mon Mar 25 12:03:10 +0000 2019,37,206
69,PROGRAM MAKAN SIANG BERPAJAK,"Cok, bahkan 100 hari Prabowo nggak ngeluarin perpu apa pun soal revisi KPK 😭

Dasar 58% rakyat bego 😭☠️☠️",Wed Feb 26 14:43:09 +0000 2025,28,78
70,Berita Jateng Tv,"@lantip Media lokal tidak bungkam, Kak🙏 Beberapa hari lalu saat aksi Indonesia Gelap di Semarang, kami mewawancarai korlab FEB Undip. Ia memberi nilai -100 dari 100 terhadap 100 hari kerja Prabowo-Gibran.

Baca liputan kami selengkapnya:

https://t.co/UTe5x0KeyX",Sat Feb 22 07:51:11 +0000 2025,85,516
71,GELORA NEWS,"Warisan Buruk Jokowi Nodai Keberhasilan 100 Hari Kerja Prabowo
https://t.co/azq1Mo0mBX",Thu Jan 30 00:54:56 +0000 2025,191,403
72,Democrazy News,"BOCOR 'Pesanan Khusus' Jelang 100 Hari Prabowo: Ada Kejutan, Jokowi-Gibran Terancam!
https://t.co/KQ34uqc7Is",Sat Jan 11 01:00:02 +0000 2025,290,1002
73,soerjoadji@gmail.com,100 hari Prabowo- Gibran bin Mulyono cuman menghasilkan PHK dan megakorupsi! https://t.co/ntr36ET4ZO,Fri Feb 28 03:31:52 +0000 2025,0,0
74,kusumaputri,"100 hari Prabowo-Gibran : terobosan bermunculan, soliditas teruji https://t.co/suiviulaZq",Thu Mar 06 05:23:38 +0000 2025,0,0
75,Lambe Waras,"Review 100 Hari Kabinet Prabowo, Lambe Waras: Prabowo Tidak Leluasa Bergerak dan Seperti Kehilangan Hak Prerogatifnya Akibat Ketakutan Akan Bayang-Bayang Mulyono Yang Masih Aktif Main Presiden-presidenan.
#IMHO",Wed Jan 22 04:55:49 +0000 2025,79,218
76,0,"@barengwarga Prabowo dalam pidatonya: dalam 100 hari kerjanya telah berhasil mengamankan Rp. 300 T ++ dari inefisiensi 🤭🤭 jadi mikir emang pada kerasa ya dampaknya, perasaan kok hidup makin susah gini",Mon Feb 24 03:41:30 +0000 2025,20,201
77,resti,Presiden Prabowo Tegaskan Komitmen Transformasi Nasional Pasca 100 Hari Kerja https://t.co/9VnUA2vday,Sun Mar 09 05:22:51 +0000 2025,0,1
78,Nalar Institute,"Publik kini menantikan kerja pemerintahan Prabowo selepas fase 100 hari pertamanya berakhir. Simak ulasan selengkapnya di kanal YouTube Nalar Institute episode 161: Setelah bulan madu usai, ke mana Prabowo membawa negeri ini?

#NalarInstitute #100hari #100hariprabowo #FACup https://t.co/0aMtxrAszB",Fri Mar 07 06:03:28 +0000 2025,0,0
79,Fer 🍉,"Tolong dong ada orang yg nyatet2in dosa pemerintah, saking banyak sampe takut lupa.

Tempo pernah ngeluarin nawadosa Jokowi sama 100 hari Prabowo. 

Tp kayaknya udh nambah banyak lagi deh.",Tue Feb 25 13:07:47 +0000 2025,0,0
80,Ali Syarief - アリ・シャリーフ,100 Hari Awal Prabowo: Mampukah Penegakan Hukum Tembus Tembok Kekuasaan Jokowi? https://t.co/k5Z9ApOXIi,Tue Sep 24 08:06:01 +0000 2024,203,394
81,Cintya,PRIMA menilai bahwa kebijakan yang di ambil oleh pemerintahan Prabowo-Gibran selama 100 hari kerja mencerminkan karakter nasionalis https://t.co/nDfKUGAlnF,Tue Mar 11 04:34:25 +0000 2025,0,0
82,Tiffany Cintia Sastrawinata,100 hari Prabowo-Gibran telah Membawa angin segar https://t.co/yx8nJTZnJv,Sat Feb 22 05:17:17 +0000 2025,0,0
83,Fuza Firdaus Zhan,"Hasil kinerja 100 hari Presiden Prabowo, rakyat bantu rakyat.

Infrastruktur diabaikan, katanya pemangkasan anggaran bakal lanjut sampai tahun 2027. https://t.co/awaMnupSRG",Fri Mar 07 08:29:43 +0000 2025,87,227
84,D,Dalam 100 hari prabowo amankan 300T dari korupsi-efisiensi #PrabowoBersihBersih https://t.co/6BPpwoKBNI,Sat Mar 01 04:56:49 +0000 2025,0,0
85,Polda Jateng,"Kepemimpinan 100 Hari Kapolri, Jenderal Polisi Drs. Listyo Sigit Prabowo https://t.co/RBtvpG1LTc., dalam korps Bhayangkara sudah melahirkan berbagai terobosan sejak dilantik sebagai Kapolri oleh Presiden Joko Widodo pada 29 Januari 2021 lalu. #100hariProgramKapolri https://t.co/XsFnef8fLq",Tue May 25 00:28:08 +0000 2021,48,169
86,Dibo,100 Hari Prabowo-Gibran: Komitmen kuat membangun Indonesia maju. #100HariPrabowoGibran https://t.co/7JDXD9paEC,Sat Feb 22 08:47:34 +0000 2025,0,1
87,Tiffany Cintia Sastrawinata,100 hari Prabowo-Gibran momentum pembangunan untuk Indonesia maju https://t.co/tDHadhbMjS,Tue Feb 25 05:16:00 +0000 2025,0,0
88,Dunia Inform,Sukses 100 hari prabowo gibran https://t.co/yxul9UXxGH,Sat Mar 08 04:15:49 +0000 2025,0,0
89,Zay3456,"1. Menurut riset CELIOS, kinerja Polri selama 100 Hari Pemerintahan Prabowo Gibran jauh dari presisi. 

Polri mendapatkan nilai 4 dari 10. 

Publik menuntut transparansi dan profesionalisme Polri. 

Sumber: CELIOS

#JokowiLuhutMusuhRakyat  
#JokowiLuhutMusuhRakyat https://t.co/WQhK84CQof",Sat Feb 22 09:23:57 +0000 2025,7,6
90,𝕵𝖚𝖓𝖎𝖔𝖗,"Presiden Prabowo cetak 4 rekor dalam 100 hari masa kerjanya, kalahkan para Presiden sebelumnya  .... 

#IndonesiaGelap2025 https://t.co/ojzvJwmTyt",Thu Feb 20 06:56:51 +0000 2025,2,6
91,Cintya,"100 hari pemerintahan Prabowo-Gibran : pria apresiasi kebijakan nasionalis, progresif dan pro rakyat https://t.co/ONEHxAVL6s",Mon Mar 10 04:29:14 +0000 2025,0,0
92,d o c t o r f a b r e 🇲🇨,"Ratusan mahasiswa yg tergabung dlm gerakan Kekacauan 100 Hari Prabowo-Gibran
#IndonesiaGelap
menyuarakan keluhan masyarakat tentang berbagai kebijakan pemotongan anggaran yg juga diduga menyasar sektor pendidikan hingga kesehatan.

https://t.co/lg48HDCl8K https://t.co/x0dsYuW94Y",Wed Feb 19 02:33:48 +0000 2025,13,16
93,Cintya,100 hari Prabowo-Gibran momentum pembangunan untuk Indonesia maju https://t.co/vZcQpHod4F,Tue Feb 25 04:13:43 +0000 2025,0,1
94,tempo.co,"“Tidak perlu menunggu satu tahun bahkan lima tahun, hanya dalam waktu 100 hari, saya bisa mengubah Indonesia.” https://t.co/NDlIZioj8a",Fri Mar 29 11:34:06 +0000 2019,966,3228
95,Dokter Tifa,"Waduh! Sakit lagi Presiden @prabowo 

Udah dua kali sakit 100 hari ini.

Tidak adakah yang bisa ingetin soal makanan dan berat badannya Pak Presiden?

https://t.co/STHJDgCTy1",Mon Feb 03 07:51:06 +0000 2025,174,660
